Título,Autor,Año
Don Quijote de la Mancha,Mark Twain,2500
Matar a un ruiseñor,Suzanne Collins,1595
El señor de los anillos,Oscar Wilde,1971
El perfume,J.R.R. Tolkien,2500
,Stephen King,1758
El resplandor,,1534
Don Quijote de la Mancha,Frank Herbert,1997
Los juegos del hambre,Aldous Huxley,2004
1984,Isaac Asimov,2022
Orgullo y prejuicio,Suzanne Collins,1573
Los miserables,Mark Twain,2500
Cien años de soledad,Fiódor Dostoyevski,año desconocido
El perfume,Aldous Huxley,1953
El principito,León Tolstói,1688
La sombra del viento,C.S. Lewis,1949
Un mundo feliz,Bram Stoker,1682
Dune,James Joyce,-50
,Dante Alighieri,1781
It,Isaac Asimov,1577
El principito,Stephen King,1539
El Hobbit,Homero,año desconocido
Ulises,Harper Lee,1636
El retrato de Dorian Gray,C.S. Lewis,1819
El resplandor,León Tolstói,1502
Las crónicas de Narnia,Bram Stoker,1542
,Ray Bradbury,1953
Los juegos del hambre,,1804
El código Da Vinci,Antoine de Saint-Exupéry,1660
El retrato de Dorian Gray,Dante Alighieri,1705
El principito,Dan Brown,abc
El resplandor,Stephen King,1864
La Iliada,Oscar Wilde,1654
La sombra del viento,Patrick Süskind,-50
Fundación,Frank Herbert,1759
El señor de los anillos,Frank Herbert,1606
El resplandor,Victor Hugo,-50
Anna Karenina,Mark Twain,1616
El código Da Vinci,,1861
El Hobbit,Dan Brown,1715
Matar a un ruiseñor,Stephen King,1587
El perfume,J.R.R. Tolkien,1855
El Hobbit,,1575
Anna Karenina,James Joyce,1740
Las aventuras de Tom Sawyer,Bram Stoker,1566
Las aventuras de Tom Sawyer,C.S. Lewis,
,Mark Twain,9999
Dune,Jane Austen,1906
,Bram Stoker,1754
It,Jane Austen,1888
El perfume,Gabriel García Márquez,1877
El perfume,,1720
Fahrenheit 451,Stephen King,1662
Dune,Miguel de Cervantes,1875
El principito,Carlos Ruiz Zafón,abc
Dune,Dan Brown,1760
Las aventuras de Tom Sawyer,Carlos Ruiz Zafón,1960
Don Quijote de la Mancha,George Orwell,1943
Drácula,,1988
,Frank Herbert,1500
Matar a un ruiseñor,Jane Austen,1604
En busca del tiempo perdido,Stephen King,2005
Crimen y castigo,Bram Stoker,1601
El gran Gatsby,,2002
Dune,,1837
Orgullo y prejuicio,James Joyce,1812
Don Quijote de la Mancha,C.S. Lewis,1838
Los juegos del hambre,,
Orgullo y prejuicio,Fiódor Dostoyevski,1773
Don Quijote de la Mancha,Ray Bradbury,1661
Crimen y castigo,C.S. Lewis,1771
,Aldous Huxley,1611
1984,Marcel Proust,2003
Orgullo y prejuicio,Harper Lee,1622
El resplandor,Carlos Ruiz Zafón,9999
Orgullo y prejuicio,F. Scott Fitzgerald,-50
Los juegos del hambre,Dan Brown,1566
El señor de los anillos,Patrick Süskind,1868
Las crónicas de Narnia,J.R.R. Tolkien,1630
Las crónicas de Narnia,J.R.R. Tolkien,1872
El señor de los anillos,Mark Twain,9999
Don Quijote de la Mancha,Suzanne Collins,1820
Las aventuras de Tom Sawyer,Victor Hugo,1621
El Hobbit,Frank Herbert,1525
El perfume,,1508
El señor de los anillos,Jane Austen,1785
Las crónicas de Narnia,Marcel Proust,2500
Cien años de soledad,Bram Stoker,2006
La divina comedia,Harper Lee,1766
,Mark Twain,1692
Fundación,León Tolstói,1828
Las crónicas de Narnia,J.R.R. Tolkien,1762
Crimen y castigo,Stephen King,1829
Fahrenheit 451,Victor Hugo,1638
It,James Joyce,2013
Ulises,Stephen King,1565
El perfume,Miguel de Cervantes,1656
El principito,Patrick Süskind,1984
El código Da Vinci,Patrick Süskind,1512
El principito,Homero,1965
La sombra del viento,Antoine de Saint-Exupéry,9999
Las aventuras de Tom Sawyer,,1851
Los juegos del hambre,,1820
Los miserables,Carlos Ruiz Zafón,1669
Orgullo y prejuicio,León Tolstói,1871
El Hobbit,F. Scott Fitzgerald,1699
La sombra del viento,Antoine de Saint-Exupéry,1749
En busca del tiempo perdido,Antoine de Saint-Exupéry,1759
Fahrenheit 451,Suzanne Collins,1867
Ulises,Homero,1744
Crimen y castigo,Frank Herbert,-50
En busca del tiempo perdido,Gabriel García Márquez,1772
,Harper Lee,1697
El resplandor,,1821
Matar a un ruiseñor,,año desconocido
Drácula,León Tolstói,1669
Orgullo y prejuicio,Carlos Ruiz Zafón,1552
Cien años de soledad,Bram Stoker,1845
El gran Gatsby,Antoine de Saint-Exupéry,1948
El Hobbit,George Orwell,1938
La divina comedia,Aldous Huxley,abc
Los juegos del hambre,Stephen King,1538
El retrato de Dorian Gray,Harper Lee,1637
En busca del tiempo perdido,Isaac Asimov,-50
El resplandor,James Joyce,1820
El Hobbit,,
Cien años de soledad,,1945
En busca del tiempo perdido,Dante Alighieri,1599
,Antoine de Saint-Exupéry,abc
Orgullo y prejuicio,Harper Lee,-50
Orgullo y prejuicio,Dan Brown,año desconocido
El señor de los anillos,Homero,
,Isaac Asimov,1810
,,1871
Don Quijote de la Mancha,Marcel Proust,1825
El Hobbit,F. Scott Fitzgerald,1618
Orgullo y prejuicio,,1867
,Marcel Proust,1795
,Ray Bradbury,1576
Los juegos del hambre,Aldous Huxley,1965
Cien años de soledad,Ray Bradbury,2004
El señor de los anillos,George Orwell,1537
Ulises,Dante Alighieri,1728
Fahrenheit 451,Miguel de Cervantes,1534
Fundación,,1600
1984,Harper Lee,año desconocido
Anna Karenina,,1579
El gran Gatsby,Aldous Huxley,1966
El principito,,1662
El retrato de Dorian Gray,Miguel de Cervantes,1811
Las aventuras de Tom Sawyer,Gabriel García Márquez,1682
Un mundo feliz,Frank Herbert,1677
Cien años de soledad,J.R.R. Tolkien,1625
Los miserables,,1684
En busca del tiempo perdido,C.S. Lewis,1685
Crimen y castigo,Isaac Asimov,1941
El principito,Mark Twain,1631
Ulises,Ray Bradbury,año desconocido
La sombra del viento,Miguel de Cervantes,1588
Los miserables,Bram Stoker,2001
El gran Gatsby,Miguel de Cervantes,1790
El principito,,1628
El retrato de Dorian Gray,Isaac Asimov,1716
La Iliada,Frank Herbert,1620
La divina comedia,Harper Lee,1738
Ulises,Oscar Wilde,1767
,Suzanne Collins,1964
El gran Gatsby,Ray Bradbury,1833
El señor de los anillos,Jane Austen,1757
Las aventuras de Tom Sawyer,J.R.R. Tolkien,1983
1984,León Tolstói,1753
It,J.R.R. Tolkien,1503
El señor de los anillos,Miguel de Cervantes,1829
El principito,Victor Hugo,
El gran Gatsby,George Orwell,1595
,,1566
Drácula,,1727
,Carlos Ruiz Zafón,1971
Los miserables,Carlos Ruiz Zafón,1561
Orgullo y prejuicio,Bram Stoker,1815
It,Isaac Asimov,1707
El código Da Vinci,Harper Lee,1861
1984,Bram Stoker,1812
El retrato de Dorian Gray,,1652
Las aventuras de Tom Sawyer,Jane Austen,1671
El Hobbit,Oscar Wilde,abc
Los miserables,Bram Stoker,1731
Drácula,Harper Lee,1723
La divina comedia,Carlos Ruiz Zafón,-500
,Isaac Asimov,1630
Los miserables,León Tolstói,1852
Fahrenheit 451,Ray Bradbury,2010
El perfume,Marcel Proust,abc
El principito,Ray Bradbury,1804
Ulises,C.S. Lewis,1500
1984,Mark Twain,1805
Crimen y castigo,C.S. Lewis,1890
Don Quijote de la Mancha,Homero,1707
El resplandor,Marcel Proust,1757
Fundación,Aldous Huxley,1908
El señor de los anillos,Ray Bradbury,1756
Ulises,Dante Alighieri,1728
Cien años de soledad,J.R.R. Tolkien,1625
El señor de los anillos,George Orwell,1537
El Hobbit,Homero,año desconocido
El gran Gatsby,George Orwell,1595
Dune,James Joyce,-50
El retrato de Dorian Gray,Dante Alighieri,1705
El principito,Stephen King,1539
El perfume,Gabriel García Márquez,1877
,Carlos Ruiz Zafón,1971
